nome;descricao;categoria
NU_ANO_CENSO;Ano do Censo;NA
ID_DOCENTE;Código do Profissional Escolar;NA
NU_DIA;Data de nascimento - dia;NA
NU_MES;Data de nascimento - mês;NA
NU_ANO;Data de nascimento - ano;NA
NU_IDADE_REFERENCIA;Idade do Profissional Escolar no mês de referência do Censo Escolar (31 de maio);NA
NU_IDADE;Idade calculada pelo ano de nascimento do Profissional Escolar;NA
TP_SEXO;Sexo;"1 - Masculino
2 - Feminino"
TP_COR_RACA;Cor/raça;"0 - Não declarada
1 - Branca
2 - Preta
3 - Parda
4 - Amarela
5 - Indígena"
TP_NACIONALIDADE;Nacionalidade;"1 - Brasileira
2 - Brasileira (nascido no exterior ou naturalizado)
3 - Estrangeira"
CO_PAIS_ORIGEM;Código País da nacionalidade;"Ver Anexo 4
   - Não aplicável para docentes de nacionalidade brasileira ou brasileira nascido no exterior ou naturalizado"
CO_UF_NASC;Código da UF de nascimento;- Não aplicável para docentes de nacionalidade estrangeira
CO_MUNICIPIO_NASC;Código do Município de nascimento;- Não aplicável para docentes de nacionalidade estrangeira
CO_PAIS_RESIDENCIA;Código País de residência3;Ver Anexo 4
CO_UF_END;Código da UF de residência;- Não aplicável para docentes residentes no exterior
CO_MUNICIPIO_END;Código do Município de residência;- Não aplicável para docentes residentes no exterior
TP_ZONA_RESIDENCIAL;Localização/Zona de Residência;"1 - Urbana
2 - Rural
    - Não aplicável para docentes residentes no exterior"
TP_LOCAL_RESID_DIFERENCIADA;Localização diferenciada da residência;"0 - Não reside em área de localização diferenciada  
1 - Área onde se localiza comunidade remanescente de quilombos
2 - Terra indígena 
3 - Área de assentamento
9 - Não informado"
IN_NECESSIDADE_ESPECIAL;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação;"0 - Não
1 - Sim"
IN_BAIXA_VISAO;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Baixa Visão;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_CEGUEIRA;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Cegueira;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_DEF_AUDITIVA;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Deficiência Auditiva;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_DEF_FISICA;Profissional Escolar com deficiência - Deficiência Física;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_DEF_INTELECTUAL;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Deficiência Intelectual;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_SURDEZ;Profissional Escolar com deficiência - Surdez;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_SURDOCEGUEIRA;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Surdocegueira;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
IN_DEF_MULTIPLA;Profissional Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Deficiência Múltipla;"0 - Não
1 - Sim
    - Não aplicável para docentes sem deficiência"
