nome;descricao;categoria
NU_ANO_CENSO;Ano do Censo;NA
CO_ENTIDADE;Código da Escola;NA
NO_ENTIDADE;Nome da Escola;NA
CO_ORGAO_REGIONAL;Código do Órgão Regional de Ensino;NA
GEO_REF_LATITUDE;Georreferenciamento da Escola;NA
GEO_REF_LONGITUDE;Georreferenciamento da Escola;NA
TP_SITUACAO_FUNCIONAMENTO;Situação de funcionamento;"1 - Em Atividade
2 - Paralisada
3 - Extinta (ano do Censo)
4 - Extinta em Anos Anteriores"
DT_ANO_LETIVO_INICIO;Início do ano letivo;NA
DT_ANO_LETIVO_TERMINO;Término (Previsão) do ano letivo;NA
CO_REGIAO;Código da região geográfica;NA
CO_MESORREGIAO;Código da mesorregião;NA
CO_MICRORREGIAO;Código da microrregião;NA
CO_UF;Código da UF;NA
CO_MUNICIPIO;Código do Município;NA
CO_DISTRITO;Código completo do Distrito da escola;NA
TP_DEPENDENCIA;Dependência Administrativa;"1 - Federal
2 - Estadual
3 - Municipal
4 - Privada"
TP_LOCALIZACAO;Localização;"1 - Urbana
2 - Rural"
TP_LOCALIZACAO_DIFERENCIADA;Localização diferenciada da escola;"0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Área onde se localiza comunidade remanescente de quilombos"
IN_VINCULO_SECRETARIA_EDUCACAO;Órgão que a escola pública está vinculada - Secretaria de Educação/Ministério da Educação;"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_SEGURANCA_PUBLICA;Órgão que a escola pública está vinculada - Secretaria de Segurança Pública/Forças Armadas/Militar;"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_SECRETARIA_SAUDE;Órgão que a escola pública está vinculada - Secretaria de Saúde/Ministério da Saúde;"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_OUTRO_ORGAO;Órgão que a escola pública está vinculada - Outro órgão da administração pública;"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
TP_CATEGORIA_ESCOLA_PRIVADA;Categoria da escola privada;"1 - Particular
2 - Comunitária
3 - Confessional
4 - Filantrópica
   - Não aplicável para escolas públicas"
IN_CONVENIADA_PP;Conveniada com o poder público;"0 - Não tem convênio
1 - Sim
   - Não aplicável para escolas públicas"
TP_CONVENIO_PODER_PUBLICO;Dependência do convênio com o poder público;"1 - Municipal
2 - Estadual
3 - Estadual e Municipal
   - Não aplicável para escolas públicas ou sem convênio"
IN_MANT_ESCOLA_PRIVADA_EMP;Mantenedora da escola privada - Empresa ou grupo empresarial do setor privado ou pessoa física;"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIVADA_ONG;Mantenedora da escola privada - Organização não governamental (ONG) - internacional ou nacional.;"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIVADA_OSCIP;Mantenedora da escola privada - Organização da Sociedade Civil de Interesse Público (Oscip);"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIV_ONG_OSCIP;"Mantenedora da escola privada - Organização não governamental (ONG) - internacional ou nacional.
Organização da Sociedade Civil de Interesse Público (Oscip)";"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIVADA_SIND;Mantenedora da escola privada - Sindicatos de trabalhadores ou patronais, associações e cooperativas;"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIVADA_SIST_S;Mantenedora da escola privada - Sistema S (Sesi, Senai, Sesc, Outros);"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
IN_MANT_ESCOLA_PRIVADA_S_FINS;Mantenedora da escola privada - Instituições sem fins lucrativos;"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
NU_CNPJ_ESCOLA_PRIVADA;Número do CNPJ da escola privada;"99999999999999 - Sem declaração
                                  - Não aplicável para escolas públicas"
NU_CNPJ_MANTENEDORA;Número do CNPJ da mantenedora principal da escola privada;"99999999999999 - Sem declaração
                                  - Não aplicável para escolas públicas"
TP_REGULAMENTACAO;Regulamentação/Autorização no conselho ou órgão municipal, estadual ou federal de educação;"0 - Não
1 - Sim
2 - Em tramitação"
TP_RESPONSAVEL_REGULAMENTACAO;Esfera administrativa do conselho ou órgão responsável pela Regulamentação/Autorização;"1 - Federal
2 - Estadual
3 - Municipal
4 - Estadual e Municipal
5 - Federal e Estadual
6 - Federal, Estadual e Municipal
9 - Não informado
   - Não aplicável para escolas sem regulamentação"
CO_ESCOLA_SEDE_VINCULADA;Código da escola sede;- Não aplicável para escolas que não possuem vínculo
CO_IES_OFERTANTE;Código da IES vinculada à escola;- Não aplicável para escolas que não possuem vínculo
IN_LOCAL_FUNC_PREDIO_ESCOLAR;Local de funcionamento da escola - Prédio Escolar;"0 - Não
1 - Sim"
TP_OCUPACAO_PREDIO_ESCOLAR;Forma de ocupação do Prédio escolar;"1 - Próprio
2 - Alugado
3 - Cedido
   - Não aplicável para escolas que não ocupam prédio escolar"
IN_LOCAL_FUNC_SALAS_EMPRESA;Local de funcionamento da escola - Salas de empresa;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_SOCIOEDUCATIVO;Local de funcionamento da escola - Unidade de Atendimento socioeducativo;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_UNID_PRISIONAL;Local de funcionamento da escola - Unidade Prisional;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_PRISIONAL_SOCIO;Local de funcionamento da escola - Unidade Prisional ou Unidade de atendimento socioeducativo;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_TEMPLO_IGREJA;Local de funcionamento da escola - Templo/Igreja;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_CASA_PROFESSOR;Local de funcionamento da escola - Casa do professor;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_GALPAO;Local de funcionamento da escola - Galpão/Rancho/Paiol/Barracão;"0 - Não
1 - Sim"
TP_OCUPACAO_GALPAO;Forma de ocupação do Galpão/Rancho/Paiol/Barracão;"1 - Próprio
2 - Alugado
3 - Cedido
9 - Não informado
   - Não aplicável para escolas que não ocupam Galpão/Rancho/Paiol/Barracão"
IN_LOCAL_FUNC_SALAS_OUTRA_ESC;Local de funcionamento da escola - Salas em outra escola;"0 - Não
1 - Sim"
IN_LOCAL_FUNC_OUTROS;Local de funcionamento da escola - Outros;"0 - Não
1 - Sim"
IN_PREDIO_COMPARTILHADO;Prédio compartilhado com outra escola;"0 - Não
1 - Sim
   - Não aplicável para escolas que não ocupam prédio escolar"
IN_AGUA_FILTRADA;Água consumida pelos alunos;"0 - Não
1 - Sim"
IN_AGUA_POTAVEL;Fornece água potável para o consumo humano;"0 - Não
1 - Sim"
IN_AGUA_REDE_PUBLICA;Abastecimento de água - Rede pública;"0 - Não
1 - Sim"
IN_AGUA_POCO_ARTESIANO;Abastecimento de água - Poço artesiano;"0 - Não
1 - Sim"
IN_AGUA_CACIMBA;Abastecimento de água - Cacimba/Cisterna/Poço;"0 - Não
1 - Sim"
IN_AGUA_FONTE_RIO;Abastecimento de água - Fonte/Rio/Igarapé/Riacho/Córrego;"0 - Não
1 - Sim"
IN_AGUA_INEXISTENTE;Abastecimento de água - Não há abastecimento de água;"0 - Não
1 - Sim"
IN_ENERGIA_REDE_PUBLICA;Abastecimento de energia elétrica - Rede pública;"0 - Não
1 - Sim"
IN_ENERGIA_GERADOR;Abastecimento de energia elétrica - Gerador;"0 - Não
1 - Sim"
IN_ENERGIA_GERADOR_FOSSIL;Abastecimento de energia elétrica - Gerador movido a combustível fóssil;"0 - Não
1 - Sim"
