nome;descricao;categoria
NU_ANO_CENSO;Ano do Censo;NA
ID_GESTOR;Código do Gestor Escolar;NA
NU_DIA;Data de nascimento - dia;NA
NU_MES;Data de nascimento - mês;NA
NU_ANO;Data de nascimento - ano;NA
NU_IDADE_REFERENCIA;Idade do Gestor Escolar no mês de referência do Censo Escolar (31 de maio);NA
NU_IDADE;Idade calculada pelo ano de nascimento do Gestor Escolar;NA
TP_SEXO;Sexo;"1 - Masculino
2 - Feminino"
TP_COR_RACA;Cor/raça;"0 - Não declarada
1 - Branca
2 - Preta
3 - Parda
4 - Amarela
5 - Indígena"
TP_NACIONALIDADE;Nacionalidade;"1 - Brasileira
2 - Brasileira - nascido no exterior ou naturalizado
3 - Estrangeira"
CO_PAIS_ORIGEM;Código País da nacionalidade;NA
CO_UF_NASC;Código da UF de nascimento;NA
CO_MUNICIPIO_NASC;Código do Município de nascimento;NA
IN_NECESSIDADE_ESPECIAL;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação;"0 - Não
1 - Sim"
IN_BAIXA_VISAO;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Baixa Visão;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_CEGUEIRA;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Cegueira;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_DEF_AUDITIVA;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Deficiência Auditiva;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_DEF_FISICA;Gestor Escolar com deficiência - Deficiência Física;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_DEF_INTELECTUAL;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Deficiência Intelectual;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_SURDEZ;Gestor Escolar com deficiência - Surdez;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
IN_SURDOCEGUEIRA;Gestor Escolar com deficiência transtorno do espectro autista ou altas habilidades/superdotação - Surdocegueira;"0 - Não
1 - Sim
 - Não aplicável para Gestor sem deficiência"
