nome;descricao;categoria
NU_ANO_CENSO;Ano do Censo;NA
ID_ALUNO;Código do aluno (ID_INEP);NA
ID_MATRICULA;Código único da matrícula;NA
NU_DIA;Data de nascimento do aluno - dia;NA
NU_MES;Data de nascimento do aluno - mês;NA
NU_ANO;Data de nascimento do aluno - ano;NA
NU_IDADE_REFERENCIA;Idade do aluno no mês de referência do Censo Escolar (31 de maio);NA
NU_IDADE;Idade calculada pelo ano de nascimento do aluno;NA
TP_SEXO;Sexo;"1 - Masculino
2 - Feminino"
TP_COR_RACA;Cor/raça;"0 - Não declarada
1 - Branca
2 - Preta
3 - Parda
4 - Amarela
5 - Indígena"
TP_NACIONALIDADE;Nacionalidade;"1 - Brasileira
2 - Brasileira (nascido no exterior ou naturalizado)
3 - Estrangeira"
CO_PAIS_ORIGEM;Código País da nacionalidade;"Ver Anexo 4
 - Não aplicável para alunos de nacionalidade brasileira ou brasileira nascido no exterior ou naturalizado"
CO_UF_NASC;Código UF de nascimento;- Não aplicável para alunos de nacionalidade estrangeira
CO_MUNICIPIO_NASC;Código Município de nascimento;- Não aplicável para alunos de nacionalidade estrangeira
CO_PAIS_RESIDENCIA;Código País de residência2;Ver Anexo 4
CO_UF_END;Código UF de residência;- Não aplicável para alunos residentes no exterior
CO_MUNICIPIO_END;Código Município de residência;- Não aplicável para alunos residentes no exterior
TP_ZONA_RESIDENCIAL;Localização/Zona de residência;"1 - Urbana
2 - Rural
    - Não aplicável para alunos residentes no exterior"
TP_LOCAL_RESID_DIFERENCIADA;Localização diferenciada da residência;"0 - Não reside em área de localização diferenciada  
1 - Área onde se localiza comunidade remanescente de quilombos
2 - Terra indígena 
3 - Área de assentamento"
IN_NECESSIDADE_ESPECIAL;Aluno (a) com deficiência, transtorno do espectro autista ou altas habilidades/superdotação;"0 - Não
1 - Sim"
IN_BAIXA_VISAO;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Baixa visão;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_CEGUEIRA;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Cegueira;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_DEF_AUDITIVA;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação (deficiência auditiva);"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_DEF_FISICA;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Deficiência física;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_DEF_INTELECTUAL;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Deficiência intelectual;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_SURDEZ;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Surdez;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_SURDOCEGUEIRA;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Surdocegueira;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
IN_DEF_MULTIPLA;Tipo de deficiência, transtorno do espectro autista ou altas habilidades/superdotação - Deficiência múltipla;"0 - Não
1 - Sim
    - Não aplicável para alunos sem deficiência"
